co_kV:	690.0026667
co_mA:	34689.19811
co_sec:	29106
co_D:	-67396.55975
co_size_times:	3.9982002504686105

calculate formula:
DAP_uGym2 = (co_kV*kV + co_mA*mA + co_sec*sec + co_D) * co_size_times / 100000


kV	uA	ms	DAP_uGym2
67	625	1100	1.3006532335665852
67	625	1250	1.475210658301794
67	625	1400	1.649768083037003
67	800	500	0.845138665626674
67	800	550	0.9033244738717437
67	800	625	0.9906031862393482
67	800	700	1.0778818986069525
67	800	800	1.1942535150970923
67	800	900	1.310625131587232
67	800	1000	1.4269967480773709
67	800	1100	1.5433683645675107
67	800	1250	1.7179257893027193
67	800	1400	1.8924832140379282
67	1000	500	1.1225273867705885
67	1000	550	1.1807131950156582
67	1000	625	1.2679919073832626
67	1000	700	1.355270619750867
67	1000	800	1.4716422362410069
67	1000	900	1.5880138527311463
67	1000	1000	1.7043854692212854
67	1000	1100	1.820757085711425
67	1000	1250	1.9953145104466339
67	1000	1400	2.1698719351818423
67	1250	500	1.4692632882004815
67	1250	550	1.5274490964455514
67	1250	625	1.6147278088131558
67	1250	700	1.7020065211807602
67	1250	800	1.8183781376708998
67	1250	900	1.9347497541610394
67	1250	1000	2.0511213706511784
67	1250	1100	2.167492987141318
67	1250	1250	2.3420504118765266
67	1250	1400	2.516607836611736
67	1575	500	1.9200199600593426
67	1575	550	1.9782057683044125
67	1575	625	2.065484480672017
67	1575	700	2.152763193039621
67	1575	800	2.2691348095297608
67	1575	900	2.3855064260199006
67	1575	1000	2.5018780425100395
67	1575	1100	2.6182496590001785
67	1575	1250	2.792807083735388
67	1575	1400	2.967364508470596
67	2000	500	2.509470992490161
67	2000	550	2.5676568007352305
67	2000	625	2.6549355131028345
67	2000	700	2.7422142254704394
67	2000	800	2.858585841960579
67	2000	900	2.9749574584507186
67	2000	1000	3.091329074940857
67	2000	1100	3.207700691430997
67	2000	1250	3.3822581161662058
67	2000	1400	3.556815540901416
67	2500	500	3.2029427953499465
67	2500	550	3.2611286035950156
67	2500	625	3.348407315962621
67	2500	700	3.4356860283302257
67	2500	800	3.5520576448203642
67	2500	900	3.668429261310504
67	2500	1000	3.784800877800643
67	2500	1100	3.901172494290783
67	2500	1250	4.075729919025992
